Type,Indicator,App
domain,flushdata.1topspy.com,1TopSpy
domain,webservicesdb.mobiispy.com,Mobiispy
domain,hellospy.com,HelloSpy
domain,mobiispy.com,Mobiispy
domain,1topspy.com,1TopSpy
domain,flushdbd.maxxspy.com,Maxxspy
domain,maxxspy.com,Maxxspy
domain,flushdata2.hellospy.com,HelloSpy
domain,flushdata.hellospy.com,HelloSpy
domain,flushdata3.hellospy.com,HelloSpy
domain,flushdata5.hellospy.com,HelloSpy
domain,account.logger.mobi,Easy Logger
domain,97.logger.mobi,Easy Logger
domain,beta-api.logger.mobi,EasyLogger
domain,beta.logger.mobi,EasyLogger
domain,ps97mailer.logger.mobi,EasyLogger
domain,logger.mobi,EasyLogger
ipv4,172.67.81.216,EasyLogger
ipv4,104.25.28.15,EasyLogger
ipv4,104.25.29.15,EasyLogger
domain,server.freeandroidspy.com,Free Android Spy
domain,freeandroidspy.com,Free Android Spy
ipv4,46.40.125.240,Free Android Spy
ipv4,199.38.181.70,Free Android Spy
domain,my.ispyoo.com,iSpyoo
domain,ispyoo.com,iSpyoo
domain,protocol-a.ispyoo.com,iSpyoo
domain,protocol-a780.ispyoo.com,iSpyoo
domain,protocol-a810.ispyoo.com,iSpyoo
domain,protocol-a811.ispyoo.com,iSpyoo
domain,protocol-a880.ispyoo.com,iSpyoo
domain,protocol-a89.ispyoo.com,iSpyoo
domain,protocol.ispyoo.com,iSpyoo
domain,sync-a.ispyoo.com,iSpyoo
domain,media-sync-a.ispyoo.com,iSpyoo
ipv4,69.64.81.166,iSpyoo
domain,mobispy.net,mobispy
domain,my.mobispy.net,mobispy
domain,reptilicus.net,Reptilicus
ipv4,176.9.42.16,Reptilicus
domain,www.shadow-logs.com,ShadowSpy
domain,shadow-spy.com,ShadowSpy
domain,snoopza.com,Snoopza
domain,my.snoopza.com,Snoopza
domain,my2.snoopza.com,Snoopza
domain,api.snoopza.com,Snoopza
ipv4,217.182.250.165,Snoopza
ipv4,46.105.57.148,Snoopza
domain,www.spy-datacenter.com,Spy Phone App
domain,spy2mobile.com,Spy2mobile
domain,spytomobile.com,Spy2mobile
domain,sap4mobile.com,Spy2mobile
ipv4,139.59.125.208,Spy2mobile
domain,tchsrvce.com,TalkLog
domain,talklog.tools,TalkLog
ipv4,78.46.34.14,TalkLog
domain,icloudappe.com,TheTruthSpy
domain,thetruth-db94a.firebaseio.com,TheTruthSpy
domain,media-sync-a.thetruthspy.com,TheTruthSpy
domain,media-sync-a7xx.thetruthspy.com,TheTruthSpy
domain,media-sync-a740.thetruthspy.com,TheTruthSpy
domain,media-sync-a743.thetruthspy.com,TheTruthSpy
domain,media-sync-a746.thetruthspy.com,TheTruthSpy
domain,media-sync-a747.thetruthspy.com,TheTruthSpy
domain,media-sync-a748.thetruthspy.com,TheTruthSpy
domain,media-sync-a749.thetruthspy.com,TheTruthSpy
domain,media-sync-a8xx.thetruthspy.com,TheTruthSpy
domain,media-sync-a810.thetruthspy.com,TheTruthSpy
domain,media-sync-a820.thetruthspy.com,TheTruthSpy
domain,media-sync-a825.thetruthspy.com,TheTruthSpy
domain,media-sync-a830.thetruthspy.com,TheTruthSpy
domain,media-sync-a835.thetruthspy.com,TheTruthSpy
domain,media-sync-a895.thetruthspy.com,TheTruthSpy
domain,media-sync-a910.thetruthspy.com,TheTruthSpy
domain,media-sync-a915.thetruthspy.com,TheTruthSpy
domain,media-sync-a920.thetruthspy.com,TheTruthSpy
domain,media-sync-a925.thetruthspy.com,TheTruthSpy
domain,media-sync-a930.thetruthspy.com,TheTruthSpy
domain,media-sync-a935.thetruthspy.com,TheTruthSpy
domain,media-sync-a940.thetruthspy.com,TheTruthSpy
domain,media-sync-a941.thetruthspy.com,TheTruthSpy
domain,media-sync-a942.thetruthspy.com,TheTruthSpy
domain,media.thetruthspy.com,TheTruthSpy
domain,my.thespyapp.com,TheTruthSpy
domain,protocol-a.thespyapp.com,TheTruthSpy
domain,protocol-a100.thespyapp.com,TheTruthSpy
domain,sync-a.thespyapp.com,TheTruthSpy
domain,sync-a100.thespyapp.com,TheTruthSpy
domain,media-sync-a.thespyapp.com,TheTruthSpy
domain,media-sync-a100.thespyapp.com,TheTruthSpy
domain,protocol-a.thetruthspy.com,TheTruthSpy
domain,protocol-a6.thetruthspy.com,TheTruthSpy
domain,protocol-a610.thetruthspy.com,TheTruthSpy
domain,protocol-a611.thetruthspy.com,TheTruthSpy
domain,protocol-a72.thetruthspy.com,TheTruthSpy
domain,protocol-a720.thetruthspy.com,TheTruthSpy
domain,protocol-a721.thetruthspy.com,TheTruthSpy
domain,protocol-a722.thetruthspy.com,TheTruthSpy
domain,protocol-a723.thetruthspy.com,TheTruthSpy
domain,protocol-a724.thetruthspy.com,TheTruthSpy
domain,protocol-a725.thetruthspy.com,TheTruthSpy
domain,protocol-a726.thetruthspy.com,TheTruthSpy
domain,protocol-a727.thetruthspy.com,TheTruthSpy
domain,protocol-a728.thetruthspy.com,TheTruthSpy
domain,protocol-a729.thetruthspy.com,TheTruthSpy
domain,protocol-a730.thetruthspy.com,TheTruthSpy
domain,protocol-a731.thetruthspy.com,TheTruthSpy
domain,protocol-a732.thetruthspy.com,TheTruthSpy
domain,protocol-a733.thetruthspy.com,TheTruthSpy
domain,protocol-a734.thetruthspy.com,TheTruthSpy
domain,protocol-a735.thetruthspy.com,TheTruthSpy
domain,protocol-a736.thetruthspy.com,TheTruthSpy
domain,protocol-a737.thetruthspy.com,TheTruthSpy
domain,protocol-a738.thetruthspy.com,TheTruthSpy
domain,protocol-a739.thetruthspy.com,TheTruthSpy
domain,protocol-a740.thetruthspy.com,TheTruthSpy
domain,protocol-a741.thetruthspy.com,TheTruthSpy
domain,protocol-a742.thetruthspy.com,TheTruthSpy
domain,protocol-a743.thetruthspy.com,TheTruthSpy
domain,protocol-a744.thetruthspy.com,TheTruthSpy
domain,protocol-a745.thetruthspy.com,TheTruthSpy
domain,protocol-a746.thetruthspy.com,TheTruthSpy
domain,protocol-a747.thetruthspy.com,TheTruthSpy
domain,protocol-a748.thetruthspy.com,TheTruthSpy
domain,protocol-a749.thetruthspy.com,TheTruthSpy
domain,protocol-a810.thetruthspy.com,TheTruthSpy
domain,protocol-a910.thetruthspy.com,TheTruthSpy
domain,protocol-a915.thetruthspy.com,TheTruthSpy
domain,protocol-a920.thetruthspy.com,TheTruthSpy
domain,protocol-a925.thetruthspy.com,TheTruthSpy
domain,protocol-a930.thetruthspy.com,TheTruthSpy
domain,protocol-a935.thetruthspy.com,TheTruthSpy
domain,protocol-a940.thetruthspy.com,TheTruthSpy
domain,protocol-a941.thetruthspy.com,TheTruthSpy
domain,protocol-a942.thetruthspy.com,TheTruthSpy
domain,protocol-monitor.thetruthspy.com,TheTruthSpy
domain,protocol.thetruthspy.com,TheTruthSpy
domain,setupmail-a.icloudappe.com,TheTruthSpy
domain,setupmail-a720.icloudappe.com,TheTruthSpy
domain,setupmail-a722.icloudappe.com,TheTruthSpy
domain,setupmail-a724.icloudappe.com,TheTruthSpy
domain,setupmail-a725.icloudappe.com,TheTruthSpy
domain,setupmail-a726.icloudappe.com,TheTruthSpy
domain,setupmail-a727.icloudappe.com,TheTruthSpy
domain,setupmail-a729.icloudappe.com,TheTruthSpy
domain,setupmail-a732.icloudappe.com,TheTruthSpy
domain,setupmail-a733.icloudappe.com,TheTruthSpy
domain,setupmail-a734.icloudappe.com,TheTruthSpy
domain,setupmail-a735.icloudappe.com,TheTruthSpy
domain,setupmail-a737.icloudappe.com,TheTruthSpy
domain,setupmail-a738.icloudappe.com,TheTruthSpy
domain,setupmail-a740.icloudappe.com,TheTruthSpy
domain,setupmail-a741.icloudappe.com,TheTruthSpy
domain,setupmail-a742.icloudappe.com,TheTruthSpy
domain,setupmail-a743.icloudappe.com,TheTruthSpy
domain,setupmail-a744.icloudappe.com,TheTruthSpy
domain,setupmail-a745.icloudappe.com,TheTruthSpy
domain,setupmail-a746.icloudappe.com,TheTruthSpy
domain,setupmail-a747.icloudappe.com,TheTruthSpy
domain,setupmail-a748.icloudappe.com,TheTruthSpy
domain,setupmail-a910.icloudappe.com,TheTruthSpy
